datahora_extracao,indicador,valor,unidade,fonte
24/07/2026 19:29,Nível Guaiba_PortoAlegre_CaisMaua,2.15,m,ANA / fallback
24/07/2026 19:29,Tendência 48h Guaiba_PortoAlegre_CaisMaua,0.66,m/48h,ANA
24/07/2026 19:29,Nível Rio_Gravatai,4.5,m,ANA / fallback
24/07/2026 19:29,Tendência 48h Rio_Gravatai,0.64,m/48h,ANA
24/07/2026 19:29,Nível Rio_dos_Sinos_SaoLeopoldo,4.36,m,ANA / fallback
24/07/2026 19:29,Tendência 48h Rio_dos_Sinos_SaoLeopoldo,0.91,m/48h,ANA
24/07/2026 19:29,Nível Rio_Cai,7.65,m,ANA / fallback
24/07/2026 19:29,Tendência 48h Rio_Cai,-3.73,m/48h,ANA
24/07/2026 19:29,Nível Rio_Jacui_TriunfoAmarop,8.22,m,ANA / fallback
24/07/2026 19:29,Tendência 48h Rio_Jacui_TriunfoAmarop,1.82,m/48h,ANA
24/07/2026 19:29,Cota de Atenção (Guaíba),2.5,m,Plano Contingência
24/07/2026 19:29,Cota de Alerta (Guaíba),3.15,m,Plano Contingência
24/07/2026 19:29,Cota de Inundação (Guaíba),3.6,m,Plano Contingência
24/07/2026 19:29,acumulado_obs_24h_mm,0.0,mm,Open-Meteo
24/07/2026 19:29,acumulado_obs_72h_mm,42.4,mm,Open-Meteo
24/07/2026 19:29,acumulado_obs_7d_mm,126.2,mm,Open-Meteo
24/07/2026 19:29,previsto_24h_mm,0.9,mm,Open-Meteo
24/07/2026 19:29,previsto_48h_mm,1.4,mm,Open-Meteo
24/07/2026 19:29,previsto_72h_mm,8.7,mm,Open-Meteo
24/07/2026 19:29,dias_chuva_intensa_5d,0,dias,Open-Meteo
24/07/2026 19:29,Aviso INMET (máx severidade),,-,INMET
24/07/2026 19:29,Qtd avisos INMET vigentes,0,un,INMET
24/07/2026 19:29,Alerta Poaclima vigente,,-,Poaclima
24/07/2026 19:29,Chuva acumulada Poaclima,,mm,Poaclima
24/07/2026 19:29,Nível Usina do Gasômetro (Poaclima),1.52,m,Poaclima
24/07/2026 19:29,Nível Cais Mauá (Poaclima),2.15,m,Poaclima
24/07/2026 19:29,Nível Riacho Ipiranga (Poaclima),0.48,m,Poaclima
24/07/2026 19:29,Alertas regionais vigentes (Defesa Civil),3,un,Poaclima
24/07/2026 19:29,Alerta regional — (17) Ilhas,Alerta de risco alto · Inundação · até 27/07/2026 15:00,-,Poaclima/Defesa Civil
24/07/2026 19:29,Alerta regional — (15) Sul,Alerta de risco alto · Inundação · até 27/07/2026 15:00,-,Poaclima/Defesa Civil
24/07/2026 19:29,Alerta regional — (13) Extremo sul,Alerta de risco alto · Inundação · até 27/07/2026 15:00,-,Poaclima/Defesa Civil
