datahora_extracao,indicador,valor,unidade,fonte
29/07/2026 01:01,Nível Guaiba_PortoAlegre_CaisMaua,1.79,m,ANA / fallback
29/07/2026 01:01,Tendência 48h Guaiba_PortoAlegre_CaisMaua,,m/48h,ANA
29/07/2026 01:01,Nível Rio_Gravatai,,m,ANA / fallback
29/07/2026 01:01,Tendência 48h Rio_Gravatai,,m/48h,ANA
29/07/2026 01:01,Nível Rio_dos_Sinos_SaoLeopoldo,,m,ANA / fallback
29/07/2026 01:01,Tendência 48h Rio_dos_Sinos_SaoLeopoldo,,m/48h,ANA
29/07/2026 01:01,Nível Rio_Cai,,m,ANA / fallback
29/07/2026 01:01,Tendência 48h Rio_Cai,,m/48h,ANA
29/07/2026 01:01,Nível Rio_Cai_Montenegro,,m,ANA / fallback
29/07/2026 01:01,Tendência 48h Rio_Cai_Montenegro,,m/48h,ANA
29/07/2026 01:01,Nível Rio_Cai_NovaPalmira,,m,ANA / fallback
29/07/2026 01:01,Tendência 48h Rio_Cai_NovaPalmira,,m/48h,ANA
29/07/2026 01:01,Nível Rio_Jacui_Triunfo,,m,ANA / fallback
29/07/2026 01:01,Tendência 48h Rio_Jacui_Triunfo,,m/48h,ANA
29/07/2026 01:01,Cota de Atenção (Guaíba),2.05,m,Plano Contingência
29/07/2026 01:01,Cota de Alerta (Guaíba),2.5,m,Plano Contingência
29/07/2026 01:01,Cota de Inundação (Guaíba),3.0,m,Plano Contingência
29/07/2026 01:01,acumulado_obs_24h_mm,33.4,mm,Open-Meteo
29/07/2026 01:01,acumulado_obs_72h_mm,57.3,mm,Open-Meteo
29/07/2026 01:01,acumulado_obs_7d_mm,84.8,mm,Open-Meteo
29/07/2026 01:01,previsto_24h_mm,12.9,mm,Open-Meteo
29/07/2026 01:01,previsto_48h_mm,12.9,mm,Open-Meteo
29/07/2026 01:01,previsto_72h_mm,12.9,mm,Open-Meteo
29/07/2026 01:01,dias_chuva_intensa_5d,0,dias,Open-Meteo
29/07/2026 01:01,Aviso INMET (máx severidade),,-,INMET
